PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2017;2018;2019;2020;2021
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80142;Ad Pedagogisch Educatief Professional;deeltijd onderwijs;hbo associate degree;man;0;0;0;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80142;Ad Pedagogisch Educatief Professional;deeltijd onderwijs;hbo associate degree;vrouw;0;0;0;13;10
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;deeltijd onderwijs;hbo bachelor;man;0;0;0;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;deeltijd onderwijs;hbo bachelor;vrouw;<5;0;5;13;23
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;man;8;8;6;8;5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;vrouw;33;19;33;11;20
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen speciaal onderwijs;44103;M Educational Needs;deeltijd onderwijs;hbo master;man;<5;<5;<5;14;11
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen speciaal onderwijs;44103;M Educational Needs;deeltijd onderwijs;hbo master;vrouw;14;12;30;50;58
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen speciaal onderwijs;44103;M Educational Needs;voltijd onderwijs;hbo master;man;0;0;0;<5;0
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen speciaal onderwijs;44103;M Educational Needs;voltijd onderwijs;hbo master;vrouw;<5;<5;<5;0;0
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35193;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Duits;deeltijd onderwijs;hbo bachelor;man;<5;<5;<5;<5;0
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35193;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Duits;deeltijd onderwijs;hbo bachelor;vrouw;<5;7;<5;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35193;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Duits;voltijd onderwijs;hbo bachelor;man;<5;5;<5;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35193;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Duits;voltijd onderwijs;hbo bachelor;vrouw;<5;7;<5;5;10
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35195;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Engels;deeltijd onderwijs;hbo bachelor;man;<5;0;<5;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35195;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Engels;deeltijd onderwijs;hbo bachelor;vrouw;11;<5;<5;6;5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35195;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Engels;voltijd onderwijs;hbo bachelor;man;<5;7;6;5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35195;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Engels;voltijd onderwijs;hbo bachelor;vrouw;12;5;7;12;13
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35197;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Geschiedenis;deeltijd onderwijs;hbo bachelor;man;<5;5;0;0;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35197;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Geschiedenis;deeltijd onderwijs;hbo bachelor;vrouw;<5;<5;<5;0;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35197;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Geschiedenis;voltijd onderwijs;hbo bachelor;man;11;6;<5;7;8
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35197;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Geschiedenis;voltijd onderwijs;hbo bachelor;vrouw;<5;<5;6;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35198;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Nederlands;deeltijd onderwijs;hbo bachelor;man;<5;5;<5;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35198;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Nederlands;deeltijd onderwijs;hbo bachelor;vrouw;24;18;16;16;16
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35198;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Nederlands;voltijd onderwijs;hbo bachelor;man;<5;<5;0;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35198;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Nederlands;voltijd onderwijs;hbo bachelor;vrouw;7;6;9;10;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35201;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Aardrijkskunde;deeltijd onderwijs;hbo bachelor;man;<5;<5;0;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35201;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Aardrijkskunde;deeltijd onderwijs;hbo bachelor;vrouw;<5;<5;<5;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35201;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Aardrijkskunde;voltijd onderwijs;hbo bachelor;man;6;5;5;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35201;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Aardrijkskunde;voltijd onderwijs;hbo bachelor;vrouw;<5;<5;<5;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35202;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Algemene Economie;deeltijd onderwijs;hbo bachelor;man;<5;<5;<5;<5;0
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35202;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Algemene Economie;deeltijd onderwijs;hbo bachelor;vrouw;<5;<5;<5;<5;0
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35202;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Algemene Economie;voltijd onderwijs;hbo bachelor;man;<5;<5;<5;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35202;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Algemene Economie;voltijd onderwijs;hbo bachelor;vrouw;<5;0;0;0;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35203;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Bedrijfseconomie;deeltijd onderwijs;hbo bachelor;man;<5;<5;<5;<5;0
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35203;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Bedrijfseconomie;deeltijd onderwijs;hbo bachelor;vrouw;0;0;0;0;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35203;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Bedrijfseconomie;voltijd onderwijs;hbo bachelor;man;<5;0;0;0;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35203;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Bedrijfseconomie;voltijd onderwijs;hbo bachelor;vrouw;<5;<5;0;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35204;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Pedagogiek;deeltijd onderwijs;hbo bachelor;man;<5;0;0;0;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35204;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Pedagogiek;deeltijd onderwijs;hbo bachelor;vrouw;0;<5;0;6;6
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35204;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Pedagogiek;voltijd onderwijs;hbo bachelor;man;0;<5;<5;<5;0
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35204;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Pedagogiek;voltijd onderwijs;hbo bachelor;vrouw;<5;<5;5;5;5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35221;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Wiskunde;deeltijd onderwijs;hbo bachelor;man;0;<5;<5;<5;6
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35221;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Wiskunde;deeltijd onderwijs;hbo bachelor;vrouw;<5;<5;0;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35221;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Wiskunde;voltijd onderwijs;hbo bachelor;man;<5;<5;<5;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35221;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Wiskunde;voltijd onderwijs;hbo bachelor;vrouw;5;6;6;8;5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35261;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Natuurkunde;deeltijd onderwijs;hbo bachelor;man;<5;5;<5;7;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35261;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Natuurkunde;deeltijd onderwijs;hbo bachelor;vrouw;<5;0;0;<5;0
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35261;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Natuurkunde;voltijd onderwijs;hbo bachelor;man;<5;<5;<5;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35261;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Natuurkunde;voltijd onderwijs;hbo bachelor;vrouw;0;0;<5;0;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;opleidingen tot leraar vo van de 1ste graad in alg. vakken;45262;M Leraar Engels;voltijd onderwijs;hbo master;man;0;<5;<5;0;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;opleidingen tot leraar vo van de 1ste graad in alg. vakken;45262;M Leraar Engels;voltijd onderwijs;hbo master;vrouw;<5;<5;<5;<5;6
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;opleidingen tot leraar vo van de 1ste graad in alg. vakken;45263;M Leraar Wiskunde;voltijd onderwijs;hbo master;man;0;6;<5;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;opleidingen tot leraar vo van de 1ste graad in alg. vakken;45263;M Leraar Wiskunde;voltijd onderwijs;hbo master;vrouw;<5;<5;<5;<5;<5
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;opleidingen tot leraar vo van de 1ste graad in alg. vakken;45269;M Leraar Nederlands;voltijd onderwijs;hbo master;man;0;<5;0;0;0
Limburg;1883;Sittard-Geleen;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;opleidingen tot leraar vo van de 1ste graad in alg. vakken;45269;M Leraar Nederlands;voltijd onderwijs;hbo master;vrouw;<5;<5;5;<5;6
Noord-Brabant;0748;Bergen op Zoom;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen speciaal onderwijs;44103;M Educational Needs;deeltijd onderwijs;hbo master;man;6;5;7;7;7
Noord-Brabant;0748;Bergen op Zoom;reguliere inst.;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen speciaal onderwijs;44103;M Educational Needs;deeltijd onderwijs;hbo master;vrouw;21;16;15;22;28
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);30029;B International Business;voltijd onderwijs;hbo bachelor;man;96;102;78;93;79
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);30029;B International Business;voltijd onderwijs;hbo bachelor;vrouw;76;74;78;72;68
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34035;B Bedrijfskunde;deeltijd onderwijs;hbo bachelor;man;17;9;11;8;11
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34035;B Bedrijfskunde;deeltijd onderwijs;hbo bachelor;vrouw;9;10;6;10;8
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;hbo bachelor;man;61;60;58;88;90
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;hbo bachelor;vrouw;50;41;42;56;72
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;deeltijd onderwijs;hbo bachelor;man;29;20;13;13;8
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;deeltijd onderwijs;hbo bachelor;vrouw;16;5;11;<5;<5
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;hbo bachelor;man;108;124;106;137;111
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;hbo bachelor;vrouw;51;47;48;52;44
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34405;B Communicatie;deeltijd onderwijs;hbo bachelor;man;<5;<5;<5;<5;<5
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34405;B Communicatie;deeltijd onderwijs;hbo bachelor;vrouw;11;<5;7;5;10
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;hbo bachelor;man;20;8;15;19;8
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;hbo bachelor;vrouw;61;42;36;63;54
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34406;B Accountancy;deeltijd onderwijs;hbo bachelor;man;5;10;12;22;17
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34406;B Accountancy;deeltijd onderwijs;hbo bachelor;vrouw;7;8;5;11;18
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34406;B Accountancy;duaal onderwijs;hbo bachelor;man;12;15;18;27;14
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34406;B Accountancy;duaal onderwijs;hbo bachelor;vrouw;13;5;7;10;8
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34406;B Accountancy;voltijd onderwijs;hbo bachelor;man;30;35;32;32;29
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34406;B Accountancy;voltijd onderwijs;hbo bachelor;vrouw;15;12;14;8;11
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34609;B Human Resource Management;deeltijd onderwijs;hbo bachelor;man;<5;<5;<5;<5;<5
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34609;B Human Resource Management;deeltijd onderwijs;hbo bachelor;vrouw;6;9;6;12;13
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34609;B Human Resource Management;voltijd onderwijs;hbo bachelor;man;15;11;12;8;17
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);34609;B Human Resource Management;voltijd onderwijs;hbo bachelor;vrouw;57;50;37;39;36
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;deeltijd onderwijs;hbo bachelor;man;5;8;<5;11;12
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;deeltijd onderwijs;hbo bachelor;vrouw;<5;6;<5;12;10
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;hbo bachelor;man;89;113;91;81;76
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;hbo bachelor;vrouw;29;49;40;44;34
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;deeltijd onderwijs;hbo bachelor;man;8;6;10;6;<5
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;deeltijd onderwijs;hbo bachelor;vrouw;<5;<5;<5;<5;0
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;voltijd onderwijs;hbo bachelor;man;55;48;57;61;48
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;voltijd onderwijs;hbo bachelor;vrouw;13;22;24;22;18
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);39118;B Business IT & Management;deeltijd onderwijs;hbo bachelor;man;11;18;8;26;15
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);39118;B Business IT & Management;deeltijd onderwijs;hbo bachelor;vrouw;<5;<5;5;<5;<5
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);39118;B Business IT & Management;voltijd onderwijs;hbo bachelor;man;40;59;42;45;60
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);39118;B Business IT & Management;voltijd onderwijs;hbo bachelor;vrouw;<5;<5;<5;6;5
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);39268;B Integrale Veiligheidskunde;voltijd onderwijs;hbo bachelor;man;64;45;72;66;36
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);39268;B Integrale Veiligheidskunde;voltijd onderwijs;hbo bachelor;vrouw;24;30;36;37;29
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);80010;Ad Ondernemerschap & Retail Management;deeltijd onderwijs;hbo associate degree;man;7;7;9;15;8
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);80010;Ad Ondernemerschap & Retail Management;deeltijd onderwijs;hbo associate degree;vrouw;5;6;5;8;<5
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);80036;Ad Marketing Management;deeltijd onderwijs;hbo associate degree;man;14;10;7;13;10
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);80036;Ad Marketing Management;deeltijd onderwijs;hbo associate degree;vrouw;12;6;5;9;6
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);80073;Ad Human Resource Management;deeltijd onderwijs;hbo associate degree;man;5;<5;<5;<5;<5
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);80073;Ad Human Resource Management;deeltijd onderwijs;hbo associate degree;vrouw;16;19;13;30;24
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);80074;Ad Bedrijfskunde;deeltijd onderwijs;hbo associate degree;man;18;37;23;33;20
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);80074;Ad Bedrijfskunde;deeltijd onderwijs;hbo associate degree;vrouw;16;17;11;8;12
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);80139;Ad Communicatie;deeltijd onderwijs;hbo associate degree;man;0;<5;<5;<5;0
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);80139;Ad Communicatie;deeltijd onderwijs;hbo associate degree;vrouw;6;5;15;18;6
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);80143;Ad Finance;deeltijd onderwijs;hbo associate degree;man;7;15;<5;<5;7
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;economie;n.v.t. (economie);80143;Ad Finance;deeltijd onderwijs;hbo associate degree;vrouw;11;12;<5;17;7
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;deeltijd onderwijs;hbo bachelor;man;7;6;7;12;9
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;deeltijd onderwijs;hbo bachelor;vrouw;17;12;16;26;26
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;voltijd onderwijs;hbo bachelor;man;22;13;19;32;16
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;voltijd onderwijs;hbo bachelor;vrouw;213;154;179;164;126
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80145;Ad Social Work;deeltijd onderwijs;hbo associate degree;man;0;<5;<5;13;9
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80145;Ad Social Work;deeltijd onderwijs;hbo associate degree;vrouw;0;15;20;28;33
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;gezondheidszorg;n.v.t. (gezondheidszorg);34538;B Management in de Zorg;deeltijd onderwijs;hbo bachelor;man;<5;<5;<5;<5;<5
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;gezondheidszorg;n.v.t. (gezondheidszorg);34538;B Management in de Zorg;deeltijd onderwijs;hbo bachelor;vrouw;7;9;9;7;14
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;deeltijd onderwijs;hbo bachelor;man;20;24;16;14;14
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;deeltijd onderwijs;hbo bachelor;vrouw;113;150;129;102;121
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;duaal onderwijs;hbo bachelor;man;<5;<5;6;<5;<5
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;duaal onderwijs;hbo bachelor;vrouw;39;34;31;26;30
Noord-Brabant;0758;Breda;reguliere inst.;07GR;Avans Hogeschool;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;voltijd onderwijs;hbo bachelor;man;6;6;8;8;<5
